179,229
134,189
75,5
0,142
178,78
210,139
247,190
4,7
136,191
5,81
0,257
0,14
72,0
233,0
1,1
211,80
0,230
214,256
8,11
11,145
85,87
142,19
73,138
180,141
76,6
0,295
133,2
138,275
79,192
182,232
80,12
6,143
133,233
0,231
256,0
215,193
137,83
77,288
181,255
0,300
135,254
0,294
139,259
12,146
83,15
216,194
236,236
16,92
143,91
258,0
217,0
0,18
0,86
0,24
0,93
0,198
0,22
250,278
237,261
0,296
0,289
24,29
188,262
146,28
220,242
218,240
93,154
28,31
191,202
189,201
148,97
241,263
0,282
0,241
267,264
97,100
30,34
150,203
251,0
25,30
95,155
94,19
90,26
0,149
0,197
238,0
268,0
89,0
144,0
0,150
0,301
185,196
21,0
145,238
239,279
187,297
240,152
26,281
147,96
219,0
235,0
15,0
88,0
0,90
0,237
0,258
0,234
84,16
18,21
259,276
249,260
212,274
2,4
74,79
213,8
234,82
248,9
257,85
9,144
140,235
141,89
13,147
87,195
17,20
265,148
270,277
20,25
0,151
260,95
94,93
29,33
98,101
152,158
0,290
0,205
0,243
0,204
0,265
266
186,239
22,200
0,280
91,27
92,199
23,0
0,23
190,153
27,99
149,32
0,156
96,0
151,0
221,0
31,35
252,206
154,104
261,160
100,0
35,36
224,109
193,0
184,0
14,17
88,86
82,0
7,10
81,0
10,13
0,84
3,0
255,0
78,0
0,3
39,43
157,267
262,298
0,291
101,41
37,106
0,283
0,161
0,245
0,46
162,210
45,167
225,113
195,0
106,0
40,44
159,247
242,284
223,108
269,0
227,212
108,50
54,55
202,0
52,54
166,119
50,52
116,126
57,60
0,292
172,0
207,0
230,223
66,183
0,253
70,75
0,137
0,76
170,0
206,0
114,58
204,216
56,124
120,177
173,131
62,66
0,224
126,135
132,0
71,226
232,0
0,77
67,71
129,135
0,221
123,130
65,69
174,134
130,186
0,287
171,208
122,130
0,250
157,122
201,214
226,172
169,176
117,128
58,61
115,215
122,130
104,112
42,47
158,163
46,116
0,249
110,53
43,166
194,246
163,286
200,0
113,0
51,120
99,157
0,207
36,39
222,0
192,102
153,0
156,266
102,110
197,209
47,169
161,165
109,117
48,51
107,115
165,171
198,104
38,42
160,48
198,164
38,42
32,36
0,105
0,244
0,40
0,103
33,0
0,159
0,203
34,37
155,107
263,162
103,45
196,235
253,248
41,111
0,114
0,168
49,0
44,49
199,118
164,170
105,211
243,268
164,170
228,0
199,118
112,57
0,269
0,175
0,125
205,218
55,56
168,0
111,173
53,121
229,213
203,59
59,127
118,62
121,65
0,179
131,138
64,61
124,67
0,270
0,72
0,252
175,134
231,272
63,68
128,136
209,227
177,187
68,73
244,251
60,63
0,220
119,129
64,133
125,70
0,182
69,74
176,0
127,225
245,131
0,293
0,222
0,73
0,273
0,228
0,299
0,131
0,271
0,225
0,132
0,219
0,178
0,217
0,123
0,174
